Port,PortNo,Route,RouteNo
Greenyellow-Nu,5010,Philodendron_Two_hundred_and_thirty-three,3409
Lightsteelblue-Mu,7013,Ranunculus_Three_hundred_and_seventy,466
Lawngreen-Upsilon,3097,Ranunculus_Three_hundred_and_thirty-seven,2204
Royalblue-Tau,6835,Limonium_One_hundred_and_eighty-one,4013
Goldenrod-Omicron,4218,Lavender_Three_hundred_and_forty-nine,3004
Azure-Beta,3231,Nigella_One_hundred_and_seventy-one,3979
Dodgerblue-Tau,8654,Limonium_One_hundred_and_eighty-one,4013
Maroon-Tau,6824,Gyp_Two_hundred_and_ninety-four,61
Mistyrose-Rho,7416,Cordyline_One_hundred_and_seventy-five,2541
Gainsboro-Phi,4588,Anconitum_Two_hundred_and_eleven,2373
Mintcream-Tau,3631,Wolfsbane_Nine,2952
Pink-Phi,3501,Bellflower_Four_hundred_and_six,3303
Green-Zeta,8196,Broom_Four_hundred_and_ninety,2210
Lightsalmon-Omicron,7711,Wolfsbane_Three_hundred_and_fifty-seven,2224
Darkseagreen-Theta,4386,Amaryllis_Ninety-three,3411
Lawngreen-Delta,3096,Ornithogalum_Three_hundred_and_seventy-seven,974
Lightblue-Zeta,6952,Craspedia_One_hundred_and_twelve,2556
Ghostwhite-Omicron,8930,Boronia_Four_hundred_and_fifty-six,3062
Lightcyan-Psi,6511,Zinna_One_hundred_and_eight,1219
Mediumorchid-Omega,7445,Throatwort_Eight,1047
Honeydew-Delta,8680,Stephanotis_One_hundred_and_twenty-six,1541
Seashell-Zeta,6916,Gerbera_Sixty-six,9112064
Ghostwhite-Mu,5594,Rose_Two_hundred_and_seventy-seven,210
Darkslateblue-Rho,3028,Jonquil_Two_hundred_and_sixty-three,3694
Mediumpurple-Kappa,5043,Lavender_Four_hundred_and_sixty-one,1342
Lightcoral-Pi,8474,Carnation_Sixty-seven,1223
Mediumaquamarine-Delta,3902,Love-lies-bleeding_Four_hundred_and_sixty-four,3691
Midnightblue-Rho,7863,Anthurium_Three_hundred_and_thirty-three,2059
Gold-Theta,5125,Philodendron_Two_hundred_and_eighty-six,3327
Gainsboro-Omega,9490,Gladiolus_Three_hundred_and_seventeen,3503
Magenta-Upsilon,9465,Peony_Four_hundred_and_thirty-four,1593
Coral-Omicron,3490,Pittosporum_Three_hundred_and_forty-five,2047
Midnightblue-Epsilon,9549,Chrysanthemum_Four_hundred_and_sixty-five,2958
Darksalmon-Nu,7744,Larkspur_Three_hundred_and_six,1779
Mediumvioletred-Upsilon,6604,Anthurium_Three_hundred_and_eighteen,1419
Darkslategray-Xi,9155,Lavandula_One_hundred_and_ninety-one,1796
Palegoldenrod-Nu,7710,Lavender_Three_hundred_and_ninety-six,2629
Ivory-Zeta,7124,Phlox_One_hundred_and_sixty-nine,951
Lightpink-Upsilon,4740,Ginger_One_hundred_and_thirty-two,2789
Maroon-Xi,6515,Nerine_Sixty-one,3084
Lightslategray-Iota,9669,Pittosporum_Thirty-nine,707
Powderblue-Kappa,5055,Cosmos_Three_hundred_and_seventy-five,1459
Sandybrown-Eta,5667,Melaleuca_Three_hundred_and_seventeen,890
Magenta-Psi,6844,Montbretia_Three_hundred_and_fifty,1988
Darkred-Phi,4522,Chamelaucium_One_hundred_and_eighty-six,3159
Moccasin-Pi,8639,Sansevieria_Three_hundred_and_eight,105
Tomato-Omega,9061,Jonquil_Three_hundred_and_seventy,575
Gray-Lamda,7227,Lavender_Twenty-seven,3230
Cyan-Mu,3210,Enthusiasm_One_hundred_and_forty-five,3205
Mediumvioletred-Eta,5404,Cymbidium_Four_hundred_and_sixty-two,139
Darkcyan-Sigma,9231,Pitt_One_hundred_and_two,2786
Lightgreen-Sigma,5501,Buddleia_Two_hundred_and_ninety,3337
Bisque-Sigma,7523,Farewell-To-Spring_Three_hundred_and_ninety-one,1302
Cyan-Mu,3210,Phalaenopsis_Eighty-five,3151
Olive-Xi,3995,Salix_Forty,3051
Maroon-Tau,6824,Godetia_Two_hundred_and_eighty-six,1088
Lightslategray-Psi,6351,Tailflowers_Ninety-six,2780
Blanchedalmond-Beta,3344,Sunflower_Three_hundred_and_eighteen,1427
Coral-Chi,6130,Cordyline_Eighty-three,398
Salmon-Eta,6779,Candytuft_Four_hundred_and_ninety-five,3718
